title,artist,top genre,year,bpm,Energy,dnce,dB,live
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14
Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8
Sing,Ed Sheeran,pop,2015,120,67,82,-4,6
Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44
Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6
Up,Olly Murs,dance pop,2015,115,85,69,-5,10
Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48
Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21
I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14
Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11
I'll Show You,Justin Bieber,canadian pop,2015,192,61,36,-7,18
Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8
I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123,94,69,-5,5
Easy Love,Sigala,dance pop,2015,124,94,68,-4,12
The Feeling,Justin Bieber,canadian pop,2015,127,81,53,-6,10
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,62,-5,22
BO$$,Fifth Harmony,dance pop,2015,103,87,81,-5,5
Sugar,Maroon 5,pop,2015,120,79,75,-7,9
Focus,Ariana Grande,dance pop,2015,100,88,67,-6,44
All About That Bass,Meghan Trainor,dance pop,2015,134,88,81,-4,11
On My Mind,Ellie Goulding,dance pop,2015,155,71,70,-7,9
Love Me Like You,Little Mix,dance pop,2015,106,67,79,-4,28
Broken Arrows,Avicii,big room,2015,116,67,63,-7,10
Booty,Jennifer Lopez,dance pop,2015,129,95,71,-4,26
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,77,-11,10
Mark My Words,Justin Bieber,canadian pop,2015,114,26,38,-9,17
Lay It All on Me,Rudimental,dance pop,2015,123,75,67,-7,19
American Oxygen,Rihanna,barbadian pop,2015,78,75,39,-6,33
Bang Bang,Jessie J,australian pop,2015,150,75,71,-4,38
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,71,-8,7
Alive,Sia,australian dance,2015,100,76,51,-4,11
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123,82,64,-5,16
Been You,Justin Bieber,canadian pop,2015,113,78,74,-6,32
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,76,-5,62
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80,48,69,-8,6
Heroes (we could be),Alesso,big room,2015,126,75,52,-4,24
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,47,-6,9
Perfect,One Direction,boy band,2015,100,82,65,-5,12
Ghosttown,Madonna,dance pop,2015,79,55,54,-7,12
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,60,-4,10
Bloodstream,Ed Sheeran,pop,2015,89,59,48,-6,6
Living For Love,Madonna,dance pop,2015,123,79,67,-5,25
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,69,-5,10
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,57,-3,16
Steal My Girl,One Direction,boy band,2015,77,76,47,-6,14
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127,85,68,-3,6
We Are Here,Alicia Keys,hip pop,2015,93,67,64,-6,8
St Jude,Florence + The Machine,art pop,2015,117,43,26,-11,11
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,57,-4,33
Time of Our Lives,Pitbull,dance pop,2015,124,80,72,-6,69
Sparks,Hilary Duff,dance pop,2015,122,88,85,-5,10
Mr. Put It Down,Ricky Martin,dance pop,2015,128,78,80,-6,4
Legendary Lovers,Katy Perry,dance pop,2015,126,84,62,-5,8
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,88,-4,20
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,28,-7,11
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,72,-4,6
Dangerous,Jennifer Hudson,dance pop,2015,109,53,90,-5,8
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,48,-8,26
The Hills,The Weeknd,canadian contemporary r&b,2016,113,56,58,-7,14
Love Yourself,Justin Bieber,canadian pop,2016,100,38,61,-10,28
Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4
Don't Let Me Down,The Chainsmokers,electropop,2016,160,87,53,-5,14
In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45
Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,63,-3,15
Million Reasons,Lady Gaga,dance pop,2016,130,42,67,-8,11
Needed Me,Rihanna,barbadian pop,2016,111,31,67,-8,8
7 Years,Lukas Graham,danish pop,2016,120,47,77,-6,39
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,19
